,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Selling,Research & Development,Interest Expense, Net Pretax Income (Loss),Pretax Income (Loss),Income Tax (Expense) Benefit,Net Income
1609,DGX,341807,USD,2019,FY,2019-12-31,2020-02-20,2022-02-28,134000000.0,136000000.0,7726000000.0,-5037000000.0,2689000000.0,-1458000000.0,-1457000000.0,-96000000.0,1076000000.0,,-247000000.0,886000000.0,858000000.0
1610,DGX,341807,USD,2020,FY,2020-12-31,2021-02-22,2023-02-21,134000000.0,136000000.0,9437000000.0,-5804000000.0,3633000000.0,-1662000000.0,-1550000000.0,-103000000.0,1884000000.0,,-460000000.0,1499000000.0,1431000000.0
1611,DGX,341807,USD,2021,FY,2021-12-31,2022-02-28,2024-02-22,123000000.0,125000000.0,10788000000.0,-6579000000.0,4209000000.0,-1828000000.0,-1727000000.0,-103000000.0,2599000000.0,,-597000000.0,2080000000.0,1995000000.0
1612,DGX,341807,USD,2022,FY,2022-12-31,2023-02-21,2024-02-22,116000000.0,118000000.0,9883000000.0,-6450000000.0,3433000000.0,-2005000000.0,-1874000000.0,-120000000.0,1235000000.0,,-264000000.0,1015000000.0,946000000.0
1613,DGX,341807,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,112000000.0,113000000.0,9252000000.0,-6199000000.0,3053000000.0,-1791000000.0,-1642000000.0,-108000000.0,1130000000.0,,-248000000.0,908000000.0,854000000.0
1305,DHI,378124,USD,2019,FY,2019-09-30,2019-10-01,2021-11-18,1240726981.0,1256710581.0,17592900000.0,-13720900000.0,3872000000.0,-1832500000.0,-1832500000.0,,2071400000.0,53900000.0,-506700000.0,1618600000.0,1618500000.0
1306,DHI,378124,USD,2020,FY,2020-09-30,2020-10-01,2022-11-18,1217084572.0,1232735181.0,20311100000.0,-15373200000.0,4937900000.0,-2047800000.0,-2047800000.0,,2923500000.0,59500000.0,-602500000.0,2380500000.0,2373700000.0
1307,DHI,378124,USD,2021,FY,2021-09-30,2021-10-01,2023-11-17,1197771055.0,1212089697.0,27774200000.0,-19899200000.0,7875000000.0,-2556200000.0,-2556200000.0,,5360400000.0,-4100000.0,-1165100000.0,4191200000.0,4175800000.0
1308,DHI,378124,USD,2022,FY,2022-09-30,2022-11-18,2024-11-19,361100000.0,365800000.0,33480000000.0,-22975900000.0,10504100000.0,-2933700000.0,-2933700000.0,,7629700000.0,,-1734100000.0,5895600000.0,5857500000.0
1309,DHI,378124,USD,2023,FY,2023-09-30,2023-11-17,2024-11-19,340700000.0,340700000.0,35460400000.0,-26110000000.0,9350400000.0,-3248800000.0,-3248800000.0,,6314700000.0,,-1519500000.0,4795200000.0,4745700000.0
239,DHR,89750,USD,2019,FY,2019-12-31,2020-02-21,2022-02-23,715000000.0,725500000.0,17911000000.0,-7927000000.0,9984000000.0,-6715000000.0,-5589000000.0,,3312000000.0,-7000000.0,-873000000.0,2432000000.0,2940000000.0
240,DHR,89750,USD,2020,FY,2020-12-31,2021-02-25,2023-02-22,706200000.0,718700000.0,22284000000.0,-9809000000.0,12475000000.0,-8244000000.0,-6896000000.0,,4521000000.0,-26000000.0,-849000000.0,3646000000.0,3510000000.0
241,DHR,89750,USD,2021,FY,2021-12-31,2022-02-23,2024-02-21,715100000.0,727000000.0,24802000000.0,-9563000000.0,15239000000.0,-8862000000.0,-6817000000.0,,6607000000.0,-96000000.0,-1064000000.0,5447000000.0,6269000000.0
242,DHR,89750,USD,2022,FY,2022-12-31,2023-02-22,2024-02-21,714600000.0,736800000.0,26643000000.0,-10455000000.0,16188000000.0,-8652000000.0,-7124000000.0,,7146000000.0,,-818000000.0,6328000000.0,7103000000.0
243,DHR,89750,USD,2023,FY,2023-12-31,2024-02-21,2024-02-21,736500000.0,743100000.0,23890000000.0,-9856000000.0,14034000000.0,-8832000000.0,-7329000000.0,,5044000000.0,,-823000000.0,4221000000.0,4743000000.0
264,DIS,261356,USD,2019,FY,2019-09-30,2019-10-20,2021-11-24,1656000000.0,1666000000.0,69607000000.0,-42061000000.0,27546000000.0,-15716000000.0,-11549000000.0,-4167000000.0,15106000000.0,-1183000000.0,-3026000000.0,10897000000.0,11054000000.0
265,DIS,261356,USD,2020,FY,2020-09-30,2020-11-25,2022-11-29,1808000000.0,1808000000.0,65388000000.0,-43880000000.0,21508000000.0,-17714000000.0,-12369000000.0,-5345000000.0,3992000000.0,-5735000000.0,-699000000.0,-2442000000.0,-2864000000.0
266,DIS,261356,USD,2021,FY,2021-09-30,2021-11-24,2023-11-21,1816000000.0,1828000000.0,67418000000.0,-45131000000.0,22287000000.0,-18628000000.0,-13517000000.0,-5111000000.0,3215000000.0,-654000000.0,-25000000.0,2536000000.0,1995000000.0
267,DIS,261356,USD,2022,FY,2022-09-30,2022-11-29,2024-11-14,1827000000.0,1827000000.0,82722000000.0,-54401000000.0,28321000000.0,-21551000000.0,-16388000000.0,-5163000000.0,5522000000.0,-237000000.0,-1732000000.0,3553000000.0,3145000000.0
268,DIS,261356,USD,2023,FY,2023-09-30,2023-11-21,2024-11-14,1828000000.0,1830000000.0,88898000000.0,-59201000000.0,29697000000.0,-20705000000.0,-15336000000.0,-5369000000.0,8661000000.0,-3892000000.0,-1379000000.0,3390000000.0,2354000000.0
1945,DLR,286372,USD,2019,FY,2019-12-31,2020-03-02,2022-02-25,208325823.0,209481231.0,3209241000.0,-1020578000.0,2188663000.0,-1561172000.0,-211097000.0,-1163774000.0,348501000.0,262715000.0,-11995000.0,599221000.0,493011000.0
1946,DLR,286372,USD,2020,FY,2020-12-31,2021-03-01,2023-02-27,260098978.0,262522508.0,3903609000.0,-1331493000.0,2572116000.0,-1901446000.0,-351369000.0,-1366379000.0,300242000.0,100535000.0,-38047000.0,362730000.0,263342000.0
1947,DLR,286372,USD,2021,FY,2021-12-31,2022-02-25,2024-02-23,283105966.0,283799538.0,4427882000.0,-1570506000.0,2857376000.0,-2097650000.0,-400654000.0,-1486632000.0,523805000.0,1296406000.0,-72799000.0,1747412000.0,1720598000.0
1948,DLR,286372,USD,2022,FY,2022-12-31,2023-02-27,2024-02-23,283105966.0,283799538.0,4691834000.0,-1825817000.0,2866017000.0,-2204283000.0,-422167000.0,-1577933000.0,358022000.0,53853000.0,-31550000.0,380325000.0,345060000.0
1949,DLR,286372,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,298603000.0,309065000.0,5477061000.0,-2381666000.0,3095395000.0,-2367849000.0,-449056000.0,-1694859000.0,328445000.0,697446000.0,-75579000.0,950312000.0,928824000.0
1476,DLTR,378128,USD,2019,FY,2020-01-31,2020-03-20,2022-03-15,237200000.0,238300000.0,23610800000.0,-16570099999.0,7040700001.0,-5465500000.0,-5465500000.0,,1411700001.0,-313000000.0,-271700000.0,827000001.0,827000001.0
1477,DLTR,378128,USD,2020,FY,2021-01-31,2021-03-16,2023-03-10,236400000.0,237300000.0,25509300000.0,-17721000000.0,7788300000.0,-5900400000.0,-5900400000.0,,1739800000.0,,-397900000.0,1341900000.0,1341900000.0
1478,DLTR,378128,USD,2021,FY,2022-01-31,2022-03-15,2024-03-20,228600000.0,229500000.0,26321200000.0,-18583900000.0,7737300000.0,-5925900000.0,-5925900000.0,,1632200000.0,,-304300000.0,1327900000.0,1327900000.0
1479,DLTR,378128,USD,2022,FY,2023-01-31,2023-03-10,2024-03-20,228600000.0,229500000.0,28331700000.0,-19396300000.0,8935400000.0,-6699100000.0,-6699100000.0,,2110600000.0,,-495200000.0,1615400000.0,1615400000.0
1480,DLTR,378128,USD,2023,FY,2024-01-31,2024-03-20,2024-03-20,219500000.0,219500000.0,30603800000.0,-21272000000.0,9331800000.0,-9144600000.0,-9144600000.0,,80300000.0,-1069000000.0,-9700000.0,-998400000.0,-998400000.0
299,DNB,125293,USD,2019,FY,2019-12-31,2020-02-25,2022-02-24,314500000.0,314500000.0,1439000000.0,-463700000.0,975300000.0,-1144700000.0,-657600000.0,-487100000.0,-623900000.0,-52300000.0,118300000.0,-553700000.0,-674100000.0
300,DNB,125293,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,367100000.0,367100000.0,1738700000.0,-548200000.0,1190500000.0,-1097600000.0,-559800000.0,-537800000.0,-189100000.0,-37300000.0,112400000.0,-111600000.0,-180600000.0
301,DNB,125293,USD,2021,FY,2021-12-31,2022-02-24,2024-02-22,428600000.0,428700000.0,2165600000.0,,,-1994900000.0,-714700000.0,-615900000.0,-20100000.0,-25100000.0,-23400000.0,-65900000.0,-71700000.0
302,DNB,125293,USD,2022,FY,2022-12-31,2023-02-23,2024-02-22,429100000.0,429100000.0,2224600000.0,,,-2054200000.0,-745600000.0,-587200000.0,-6700000.0,-20500000.0,28800000.0,4100000.0,-2300000.0
303,DNB,125293,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,430500000.0,430500000.0,2314000000.0,,,-2160500000.0,-742700000.0,-586800000.0,-67900000.0,-13200000.0,34200000.0,-43700000.0,-47000000.0
1031,DOC,998407,USD,2019,FY,2019-12-31,2020-02-27,2022-02-24,185770251.0,191626320.0,415281000.0,,,-304354000.0,-33099000.0,-146436000.0,45877000.0,31309000.0,,77186000.0,73274000.0
1032,DOC,998407,USD,2020,FY,2020-12-31,2021-02-26,2023-02-24,204243768.0,211145917.0,437505000.0,,,-311551000.0,,,67518000.0,970000.0,,68488000.0,64876000.0
1033,DOC,998407,USD,2021,FY,2021-12-31,2022-02-24,2024-02-22,217406657.0,223992049.0,457699000.0,,,-333035000.0,-37757000.0,-157870000.0,62958000.0,23825000.0,,86783000.0,83952000.0
1034,DOC,998407,USD,2022,FY,2022-12-31,2023-02-24,2024-02-22,226598474.0,239610285.0,526635000.0,,,-400950000.0,-40209000.0,-189641000.0,52661000.0,57375000.0,,110036000.0,104366000.0
1035,DOC,998407,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,238216847.0,249344713.0,543463000.0,,,-412508000.0,-38756000.0,-191091000.0,50688000.0,-6921000.0,,43767000.0,41876000.0
279,DOV,336327,USD,2019,FY,2019-12-31,2020-02-14,2022-02-11,145198000.0,146992000.0,7136397000.0,-4515459000.0,2620938000.0,-1599098000.0,-1599098000.0,,913498000.0,-70489000.0,-165091000.0,677918000.0,677918000.0
280,DOV,336327,USD,2020,FY,2020-12-31,2021-02-12,2023-02-10,144050000.0,145393000.0,6683760000.0,-4209741000.0,2474019000.0,-1541032000.0,-1541032000.0,,836521000.0,5213000.0,-158283000.0,683451000.0,683451000.0
281,DOV,336327,USD,2021,FY,2021-12-31,2022-02-11,2024-02-09,143976000.0,145440000.0,7907081000.0,-4937295000.0,2969786000.0,-1688278000.0,-1688278000.0,,1194488000.0,206338000.0,-277008000.0,1123818000.0,1123818000.0
282,DOV,336327,USD,2022,FY,2022-12-31,2023-02-10,2024-02-09,142681000.0,143595000.0,8508088000.0,-5444532000.0,3063556000.0,-1684226000.0,-1684226000.0,,1287505000.0,,-222129000.0,1065376000.0,1065376000.0
283,DOV,336327,USD,2023,FY,2023-12-31,2024-02-09,2024-02-09,139848000.0,140599000.0,8438134000.0,-5353501000.0,3084633000.0,-1718290000.0,-1718290000.0,,1270006000.0,,-213178000.0,1056828000.0,1056828000.0
1511,DOW,378129,USD,2019,FY,2019-12-31,2020-02-07,2022-02-04,742500000.0,742500000.0,42951000000.0,-36657000000.0,6294000000.0,-2774000000.0,-1590000000.0,-419000000.0,3035000000.0,-4282000000.0,-470000000.0,-1717000000.0,-1359000000.0
1512,DOW,378129,USD,2020,FY,2020-12-31,2021-02-05,2023-02-01,740500000.0,742300000.0,38542000000.0,-33346000000.0,5196000000.0,-2640000000.0,-1471000000.0,-401000000.0,3018000000.0,-947000000.0,-777000000.0,1294000000.0,1225000000.0
1513,DOW,378129,USD,2021,FY,2021-12-31,2022-02-04,2024-01-31,744500000.0,750000000.0,54968000000.0,-44191000000.0,10777000000.0,-2890000000.0,-1645000000.0,-388000000.0,8151000000.0,-6000000.0,-1740000000.0,6405000000.0,6311000000.0
1514,DOW,378129,USD,2022,FY,2022-12-31,2023-02-01,2024-01-31,721000000.0,725600000.0,56902000000.0,-48338000000.0,8564000000.0,-2862000000.0,-1675000000.0,-336000000.0,6208000000.0,-118000000.0,-1450000000.0,4640000000.0,4582000000.0
1515,DOW,378129,USD,2023,FY,2023-12-31,2024-01-31,2024-01-31,705700000.0,709000000.0,44622000000.0,-39742000000.0,4880000000.0,-2780000000.0,-1627000000.0,-324000000.0,1184000000.0,-528000000.0,4000000.0,660000000.0,589000000.0
1931,DPZ,338660,USD,2019,FY,2019-12-31,2020-02-20,2022-03-01,40766362.0,41923062.0,3618774000.0,-2216275000.0,1402499000.0,-773092000.0,-382293000.0,,482637000.0,,-81928000.0,400709000.0,400709000.0
1932,DPZ,338660,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,38974037.0,39640791.0,4117411000.0,-2522918000.0,1594493000.0,-868851000.0,-406613000.0,,555130000.0,,-63834000.0,491296000.0,491296000.0
1933,DPZ,338660,USD,2021,FY,2021-12-31,2022-03-01,2024-02-26,36627660.0,37130209.0,4357373000.0,-2669131000.0,1688242000.0,-907834000.0,-428333000.0,,625705000.0,,-115238000.0,510467000.0,510467000.0
1934,DPZ,338660,USD,2022,FY,2022-12-31,2023-02-23,2024-02-26,36138273.0,37691351.0,4537158000.0,-2888552000.0,1648606000.0,-901854000.0,-416524000.0,,551660000.0,21173000.0,-120570000.0,452263000.0,452263000.0
1935,DPZ,338660,USD,2023,FY,2023-12-31,2024-02-26,2024-02-26,35081779.0,35401313.0,4479358000.0,-2751941000.0,1727417000.0,-907749000.0,-434554000.0,,652589000.0,-149000.0,-133322000.0,519118000.0,519118000.0
1486,DRI,108420,USD,2019,FY,2019-05-31,2019-07-19,2021-07-23,123500000.0,125400000.0,8510400000.0,-6661400000.0,1849000000.0,-997500000.0,-660800000.0,-336700000.0,801300000.0,-19000000.0,-63700000.0,718600000.0,713400000.0
1487,DRI,108420,USD,2020,FY,2020-05-31,2020-07-24,2022-07-22,122700000.0,122700000.0,7806900000.0,-6398500000.0,1408400000.0,-970300000.0,-614400000.0,-355900000.0,229200000.0,-390200000.0,111800000.0,-49200000.0,-52400000.0
1488,DRI,108420,USD,2021,FY,2021-05-31,2021-07-23,2023-07-21,130300000.0,131500000.0,7196100000.0,-5702600000.0,1493500000.0,-838200000.0,-487300000.0,-350900000.0,583100000.0,-6600000.0,55900000.0,632400000.0,629300000.0
1489,DRI,108420,USD,2022,FY,2022-05-31,2022-07-22,2024-07-19,130400000.0,131800000.0,9630000000.0,-7635000000.0,1995000000.0,-834800000.0,-466400000.0,-368400000.0,1091500000.0,2000000.0,-138800000.0,954700000.0,952800000.0
1490,DRI,108420,USD,2023,FY,2023-05-31,2023-07-21,2024-07-19,121900000.0,122900000.0,10487800000.0,-8404400000.0,2083400000.0,-892200000.0,-504400000.0,-387800000.0,1109900000.0,10600000.0,-137000000.0,983500000.0,981900000.0
259,DTE,378131,USD,2019,FY,2019-12-31,2020-02-05,2022-02-10,217375000.0,217375000.0,12168000000.0,-6833000000.0,5335000000.0,-3891000000.0,-2316000000.0,-1169000000.0,1066000000.0,-53000000.0,-71000000.0,942000000.0,1169000000.0
260,DTE,378131,USD,2020,FY,2020-12-31,2021-02-19,2023-02-23,226775000.0,226775000.0,11423000000.0,-5839000000.0,5584000000.0,-3992000000.0,-2305000000.0,-1292000000.0,1175000000.0,-93000000.0,-37000000.0,1045000000.0,1368000000.0
261,DTE,378131,USD,2021,FY,2021-12-31,2022-02-10,2024-02-08,193000000.0,194000000.0,14964000000.0,-9208000000.0,5756000000.0,-4228000000.0,-2420000000.0,-1377000000.0,1099000000.0,-443000000.0,130000000.0,786000000.0,909000000.0
262,DTE,378131,USD,2022,FY,2022-12-31,2023-02-23,2024-02-08,195000000.0,196000000.0,19228000000.0,-13160000000.0,6068000000.0,-4325000000.0,-2400000000.0,-1468000000.0,1106000000.0,6000000.0,-29000000.0,1083000000.0,1083000000.0
263,DTE,378131,USD,2023,FY,2023-12-31,2024-02-08,2024-02-08,206000000.0,206000000.0,12745000000.0,-6258000000.0,6487000000.0,-4228000000.0,-2160000000.0,-1606000000.0,1591000000.0,-25000000.0,-169000000.0,1397000000.0,1397000000.0
294,DUK,191249,USD,2019,FY,2019-12-31,2020-02-20,2022-02-24,729000000.0,729000000.0,25079000000.0,-13519000000.0,11560000000.0,-5855000000.0,,-4548000000.0,4093000000.0,4000000.0,-519000000.0,3578000000.0,3707000000.0
295,DUK,191249,USD,2020,FY,2020-12-31,2021-02-25,2023-02-27,737000000.0,738000000.0,23366000000.0,-12013000000.0,11353000000.0,-5815000000.0,,-4504000000.0,1887000000.0,-967000000.0,169000000.0,1089000000.0,1270000000.0
296,DUK,191249,USD,2021,FY,2021-12-31,2022-02-24,2024-02-23,769000000.0,769000000.0,24621000000.0,-12663000000.0,11958000000.0,-6117000000.0,,-4762000000.0,4332000000.0,-341000000.0,-268000000.0,3723000000.0,3802000000.0
297,DUK,191249,USD,2022,FY,2022-12-31,2023-02-27,2024-02-23,770000000.0,770000000.0,28768000000.0,-15792000000.0,12976000000.0,-6552000000.0,,-5086000000.0,4490000000.0,-412000000.0,-300000000.0,3778000000.0,2444000000.0
298,DUK,191249,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,771000000.0,771000000.0,29060000000.0,-15304000000.0,13756000000.0,-6653000000.0,,-5253000000.0,4800000000.0,-33000000.0,-438000000.0,4329000000.0,2735000000.0
1564,DVA,349826,USD,2019,FY,2019-12-31,2020-02-21,2022-02-11,153180908.0,153812064.0,11388479000.0,-7914485000.0,3473994000.0,-1718464000.0,-1103312000.0,-615152000.0,1353733000.0,-158294000.0,-279628000.0,915811000.0,810981000.0
1565,DVA,349826,USD,2020,FY,2020-12-31,2021-02-12,2023-02-22,119797000.0,122623000.0,11550604000.0,-7988613000.0,3561991000.0,-1851103000.0,-1247584000.0,-630435000.0,1423536000.0,-105274000.0,-313932000.0,1004330000.0,773642000.0
1566,DVA,349826,USD,2021,FY,2021-12-31,2022-02-11,2024-02-14,104793000.0,109838000.0,11618797000.0,-7972414000.0,3646383000.0,-1875950000.0,-1195335000.0,-680615000.0,1518494000.0,,-306732000.0,1211762000.0,978450000.0
1567,DVA,349826,USD,2022,FY,2022-12-31,2023-02-22,2024-02-14,105230000.0,109948000.0,11609894000.0,-8209553000.0,3400341000.0,-2087799000.0,-1355197000.0,-732602000.0,966278000.0,,-198087000.0,768191000.0,560400000.0
1568,DVA,349826,USD,2023,FY,2023-12-31,2024-02-14,2024-02-14,90790000.0,93182000.0,12140147000.0,-8319717000.0,3820430000.0,-2219427000.0,-1473984000.0,-745443000.0,1211139000.0,-34045000.0,-220116000.0,956978000.0,691535000.0
1093,DVN,122079,USD,2019,FY,2019-12-31,2020-02-19,2022-02-16,401000000.0,401000000.0,6220000000.0,-1197000000.0,5023000000.0,-4842000000.0,-3287000000.0,-1497000000.0,-73000000.0,-36000000.0,30000000.0,-79000000.0,-355000000.0
1094,DVN,122079,USD,2020,FY,2020-12-31,2021-02-17,2023-02-15,377000000.0,377000000.0,4828000000.0,-1123000000.0,3705000000.0,-3818000000.0,-2351000000.0,-1300000000.0,-349000000.0,-2741000000.0,547000000.0,-2543000000.0,-2680000000.0
1095,DVN,122079,USD,2021,FY,2021-12-31,2022-02-16,2024-02-28,677000000.0,679000000.0,12206000000.0,-2131000000.0,10075000000.0,-6801000000.0,-4629000000.0,-2158000000.0,2988000000.0,-90000000.0,-65000000.0,2833000000.0,2813000000.0
1096,DVN,122079,USD,2022,FY,2022-12-31,2023-02-15,2024-02-28,677000000.0,679000000.0,19169000000.0,-2797000000.0,16372000000.0,-8427000000.0,-6175000000.0,-2223000000.0,7731000000.0,44000000.0,-1738000000.0,6037000000.0,6015000000.0
1097,DVN,122079,USD,2023,FY,2023-12-31,2024-02-28,2024-02-28,639000000.0,642000000.0,15258000000.0,-2928000000.0,12330000000.0,-7391000000.0,-4817000000.0,-2554000000.0,4593000000.0,30000000.0,-841000000.0,3782000000.0,3747000000.0
1965,DXCM,352596,USD,2019,FY,2019-12-31,2020-02-13,2022-02-14,364400000.0,369200000.0,1476000000.0,-544500000.0,931500000.0,-789200000.0,-515700000.0,,104200000.0,,-3100000.0,101100000.0,101100000.0
1966,DXCM,352596,USD,2020,FY,2020-12-31,2021-02-11,2023-02-09,377600000.0,390000000.0,1926700000.0,-646600000.0,1280100000.0,-980600000.0,-618200000.0,-2500000.0,297900000.0,,251800000.0,549700000.0,549700000.0
1967,DXCM,352596,USD,2021,FY,2021-12-31,2022-02-14,2024-02-08,387600000.0,402000000.0,2448500000.0,-768000000.0,1680500000.0,-1327600000.0,-810500000.0,,343900000.0,-87100000.0,-39900000.0,216900000.0,216900000.0
1968,DXCM,352596,USD,2022,FY,2022-12-31,2023-02-09,2024-02-08,389400000.0,427500000.0,2909800000.0,-1026700000.0,1883100000.0,-1491900000.0,-1007700000.0,,390800000.0,,-49600000.0,341200000.0,341200000.0
1969,DXCM,352596,USD,2023,FY,2023-12-31,2024-02-08,2024-02-08,386000000.0,425500000.0,3622300000.0,-1333400000.0,2288900000.0,-1691200000.0,-1185400000.0,,710400000.0,,-168900000.0,541500000.0,541500000.0
1138,EA,372651,USD,2018,FY,2019-03-31,2019-05-24,2021-05-26,303000000.0,306000000.0,4950000000.0,-1322000000.0,3628000000.0,-2618000000.0,-1162000000.0,-23000000.0,1093000000.0,-14000000.0,-60000000.0,1019000000.0,1019000000.0
1139,EA,372651,USD,2019,FY,2020-03-31,2020-05-20,2022-05-25,293000000.0,295000000.0,5537000000.0,-1369000000.0,4168000000.0,-2718000000.0,-1137000000.0,-22000000.0,1513000000.0,-5000000.0,1531000000.0,3039000000.0,3039000000.0
1140,EA,372651,USD,2020,FY,2021-03-31,2021-05-26,2023-05-24,289000000.0,292000000.0,5629000000.0,-1494000000.0,4135000000.0,-3059000000.0,-1281000000.0,,1047000000.0,-30000000.0,-180000000.0,837000000.0,837000000.0
1141,EA,372651,USD,2021,FY,2022-03-31,2022-05-25,2024-05-22,284000000.0,286000000.0,6991000000.0,-1859000000.0,5132000000.0,-4003000000.0,-1634000000.0,-183000000.0,1081000000.0,,-292000000.0,789000000.0,789000000.0
1142,EA,372651,USD,2022,FY,2023-03-31,2023-05-24,2024-05-22,277000000.0,278000000.0,7426000000.0,-1792000000.0,5634000000.0,-4191000000.0,-1705000000.0,-158000000.0,1437000000.0,-111000000.0,-524000000.0,802000000.0,802000000.0
1719,EBAY,104109,USD,2019,FY,2019-12-31,2020-01-31,2022-02-24,849000000.0,856000000.0,7429000000.0,-1585000000.0,5844000000.0,-3812000000.0,-2854000000.0,-28000000.0,1781000000.0,-129000000.0,-219000000.0,1433000000.0,1786000000.0
1720,EBAY,104109,USD,2020,FY,2020-12-31,2021-02-04,2023-02-23,710000000.0,718000000.0,8894000000.0,-1797000000.0,7097000000.0,-4131000000.0,-3076000000.0,-27000000.0,2668000000.0,677000000.0,-858000000.0,2487000000.0,5667000000.0
1721,EBAY,104109,USD,2021,FY,2021-12-31,2022-02-24,2024-02-28,647000000.0,658000000.0,10420000000.0,-2650000000.0,7770000000.0,-4425000000.0,-3091000000.0,-9000000.0,3185000000.0,-2787000000.0,-146000000.0,252000000.0,13608000000.0
1722,EBAY,104109,USD,2022,FY,2022-12-31,2023-02-23,2024-02-28,558000000.0,558000000.0,9795000000.0,-2680000000.0,7115000000.0,-4433000000.0,-3099000000.0,-4000000.0,2517000000.0,-4118000000.0,327000000.0,-1274000000.0,-1269000000.0
1723,EBAY,104109,USD,2023,FY,2023-12-31,2024-02-28,2024-02-28,530000000.0,533000000.0,10112000000.0,-2833000000.0,7279000000.0,-4978000000.0,-3413000000.0,-21000000.0,2235000000.0,1472000000.0,-932000000.0,2775000000.0,2767000000.0
304,ECL,378133,USD,2019,FY,2019-12-31,2020-02-28,2022-02-25,288100000.0,292500000.0,12562000000.0,-7045800000.0,5516200000.0,-3550800000.0,-3550800000.0,,1851700000.0,-120200000.0,-288600000.0,1442900000.0,1558900000.0
305,ECL,378133,USD,2020,FY,2020-12-31,2021-02-26,2023-02-24,287000000.0,290300000.0,11790200000.0,-6905800000.0,4884400000.0,-3309100000.0,-3309100000.0,,1341000000.0,-179600000.0,-176600000.0,984800000.0,-1205100000.0
306,ECL,378133,USD,2021,FY,2021-12-31,2022-02-25,2024-02-23,286400000.0,289200000.0,12733100000.0,-7615800000.0,5117300000.0,-3416100000.0,-3416100000.0,,1516800000.0,-102600000.0,-270200000.0,1144000000.0,1129900000.0
307,ECL,378133,USD,2022,FY,2022-12-31,2023-02-24,2024-02-23,285200000.0,286600000.0,14187800000.0,-8831000000.0,5356800000.0,-3653800000.0,-3653800000.0,,1483900000.0,-140500000.0,-234500000.0,1108900000.0,1091700000.0
308,ECL,378133,USD,2023,FY,2023-12-31,2024-02-23,2024-02-23,285000000.0,286500000.0,15320200000.0,-9154900000.0,6165300000.0,-4061600000.0,-4061600000.0,,1866900000.0,-111400000.0,-362500000.0,1393000000.0,1372300000.0
210,ED,378121,USD,2019,FY,2019-12-31,2020-02-20,2022-02-17,328500000.0,329500000.0,12574000000.0,-2633000000.0,9941000000.0,-7265000000.0,,-1684000000.0,1722000000.0,14000000.0,-296000000.0,1440000000.0,1343000000.0
211,ED,378121,USD,2020,FY,2020-12-31,2021-02-18,2023-02-16,334800000.0,335700000.0,12246000000.0,-2283000000.0,9963000000.0,-7309000000.0,,-1920000000.0,1217000000.0,17000000.0,-90000000.0,1144000000.0,1101000000.0
212,ED,378121,USD,2021,FY,2021-12-31,2022-02-17,2024-02-15,353400000.0,354100000.0,13676000000.0,-2754000000.0,10922000000.0,-8096000000.0,,-2032000000.0,1544000000.0,-161000000.0,-190000000.0,1193000000.0,1346000000.0
213,ED,378121,USD,2022,FY,2022-12-31,2023-02-16,2024-02-15,353400000.0,354100000.0,15670000000.0,-4080000000.0,11590000000.0,-8966000000.0,,-2056000000.0,2213000000.0,-115000000.0,-498000000.0,1600000000.0,1660000000.0
214,ED,378121,USD,2023,FY,2023-12-31,2024-02-15,2024-02-15,347700000.0,349300000.0,14663000000.0,-3652000000.0,11011000000.0,-8680000000.0,,-2031000000.0,2230000000.0,773000000.0,-487000000.0,2516000000.0,2519000000.0
319,EFX,378137,USD,2019,FY,2019-12-31,2020-02-20,2022-02-24,120900000.0,122000000.0,3507600000.0,-1521700000.0,1985900000.0,-2321300000.0,-1990200000.0,-331100000.0,-413800001.0,,35700000.0,-378100001.0,-384100001.0
320,EFX,378137,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,121500000.0,122800000.0,4127500000.0,-1737400000.0,2390100000.0,-1713500000.0,-1322500000.0,-391000000.0,685200000.0,,-159000000.0,526200000.0,520100000.0
321,EFX,378137,USD,2021,FY,2021-12-31,2022-02-24,2024-02-22,121900000.0,123700000.0,4923900000.0,-1980900000.0,2943000000.0,-1805000000.0,-1324600000.0,-480400000.0,949200000.0,,-200700000.0,748500000.0,744200000.0
322,EFX,378137,USD,2022,FY,2022-12-31,2023-02-23,2024-02-22,122400000.0,123300000.0,5122200000.0,-2177200000.0,2945000000.0,-1889000000.0,-1328900000.0,-560100000.0,929700000.0,,-229500000.0,700200000.0,696200000.0
323,EFX,378137,USD,2023,FY,2023-12-31,2024-02-22,2024-02-22,122900000.0,123900000.0,5265200000.0,-2335100000.0,2930100000.0,-1996500000.0,-1385700000.0,-610800000.0,717900000.0,,-166200000.0,551700000.0,545300000.0
